supplierOrTrademark,modelIdentifier,eprelRegistrationNumber,deviceType,energyClass,repairabilityClass,repairabilityIndex,onMarketStartDate,guaranteeDuration,minYearsSoftwareUpdates,ratedBatteryCapacity,batteryEndurancePerCycle,batteryEnduranceInCycles,batteryCyclesFromPDF,batteryUserReplaceable,chargerRequiredOutputPower,chargerReceptacleType,operatingSystem,isFoldable,ingressProtectionRating,ingressProtectionRatingSolid,ingressProtectionRatingWater,immersionDepthWater,screenScratchResistance,repeatedFreeFallReliabilityClass,fallsWithoutDefect,disassemblyDepthScore,fastenersScore,toolsScore,sparePartScore,repairInfoScore,webLinkRepairInstructions,webLinkInfoSparePartsAvailability
"Shenzhen Xindali Technology Co., LTD",S25U,2372864,SMARTPHONE,B,C,2.55,2025-05-29,12,5,3600,2148,2,200,False,10,USB_C,ANDROID,False,IP42,MORE_THAN_1MM,SPRAY_LESS_THAN_15_DEGREES,,MOHS_7,D,60,2.55,2.55,2.55,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,/,/
vivo,V2505,2259410,SMARTPHONE,B,C,2.99,2025-06-05,24,5,5200,2827,8,800,True,55,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,C,100,2.9,3.1,1,PRIORITY,NO_COST,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair,https://vivospareparts.com/
OUKITEL,C1 Pro,2384172,SMARTPHONE,A,B,3.47,2025-06-10,12,5,5150,3913,12,1200,False,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,A,270,3.9,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
HAMMER,Construction,2374820,SMARTPHONE,C,B,3.48,2022-10-11,24,5,6000,2760,5,500,False,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_6,A,455,4.2,4.8,3.1,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,www.mptech.eu,www.mptech.eu
"Guangzhou Shangke Information Technology Co., Ltd.",TLA001,2386772,SMARTPHONE,F,B,3.52,2025-06-12,12,5,8000,5870,8,800,False,10,USB_C,ANDROID,False,IP42,MORE_THAN_1MM,SPRAY_LESS_THAN_15_DEGREES,,MOHS_5,E,52,4.1,2.7,2.95,PRIORITY,NO_COST,/,/
OSCAL,TIGER 13,2394833,SMARTPHONE,B,B,3.43,2025-06-20,24,5,5000,2946,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_7,C,138,4.3,4.9,4.8,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
realme,RMX3939,2398244,SMARTPHONE,A,B,3.37,2025-06-25,12,5,5000,3343,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
SPC,ZEUS 2 - 2353,2380124,SMARTPHONE,B,B,3.49,2025-05-16,24,5,2300,1340,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,C,90,3.45,3.4,3.1,PRIORITY,NO_COST,https://support.spc.es,https://repair.spc.es/
TCL,T517F,2371500,SMARTPHONE,B,B,3.44,2025-05-26,24,5,4900,3163,10,1000,True,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,180,3.1,3.6,3.15,PRIORITY,NO_COST,https://www.tcl.com/mobile-support,https://storesp.tcl.com
motorola,e15 (XT2523-6),2208427,SMARTPHONE,A,B,3.39,2024-12-29,60,5,5100,4106,10,1000,True,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_6,B,180,2.3,3.4,4.35,PRIORITY,NO_COST,https://www.replacebase.eu/motorola-guide,https://www.replacebase.eu/genuine-motorola-parts
HMD,TA-1688,2238053,SMARTPHONE,A,A,4.01,2025-06-20,36,5,4500,2910,8,800,True,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_8,A,270,4.05,5,4,PRIORITY,NO_COST,https://www.hmd.com/en_int/self-repair,https://www.hmd.com/en_int/self-repair
XGODY,X36,2391877,SMARTPHONE,B,B,3.59,2025-06-18,12,5,3800,2355,9,900,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,D,45,4.15,2.6,4.45,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
nubia,Z2465N,2343875,SMARTPHONE,C,B,3,2025-05-01,24,5,4930,2457,8,800,True,33,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,D,80,2.7,3.2,4,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/nubia/nubia-neo-3-gt-5g,https://www.ztedevices.com/en/support/service-center.html
DOOGEE,T40 Pro,2406122,SMARTPHONE,E,C,3.16,2025-07-03,12,5,10200,3593,13,1300,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.95,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OSCAL,PILOT 3,2394385,SMARTPHONE,A,C,3.28,2025-06-20,12,5,7500,7125,8,800,False,45,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.4,2.7,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,/,/
